algorytm;rozmiar danych;srednia;odchylenie
Merge_ArrayList;1;0,000000;0,000000
Merge_ArrayList;2;0,000000;0,000000
Merge_ArrayList;5;0,000000;0,000000
Merge_ArrayList;10;0,000000;0,000000
Merge_ArrayList;15;0,000000;0,000000
Merge_ArrayList;20;0,000000;0,000000
Merge_ArrayList;30;0,000000;0,000000
Merge_ArrayList;40;0,000000;0,000000
Merge_ArrayList;50;0,000000;0,000000
Merge_ArrayList;60;0,000000;0,000000
Merge_ArrayList;80;0,000000;0,000000
Merge_ArrayList;100;0,020000;0,140000
Merge_ArrayList;150;0,000000;0,000000
Merge_ArrayList;200;0,020000;0,140000
Merge_ArrayList;250;0,020000;0,140000
Merge_ArrayList;500;0,060000;0,237487
Merge_ArrayList;1000;0,340000;0,620000
Merge_ArrayList;2000;0,080000;0,271293
Merge_ArrayList;5000;0,220000;0,414246
Merge_ArrayList;10000;0,380000;0,485386
Merge_LinkedList;1;0,000000;0,000000
Merge_LinkedList;2;0,000000;0,000000
Merge_LinkedList;5;0,000000;0,000000
Merge_LinkedList;10;0,020000;0,140000
Merge_LinkedList;15;0,020000;0,140000
Merge_LinkedList;20;0,020000;0,140000
Merge_LinkedList;30;0,000000;0,000000
Merge_LinkedList;40;0,020000;0,140000
Merge_LinkedList;50;0,020000;0,140000
Merge_LinkedList;60;0,040000;0,195959
Merge_LinkedList;80;0,080000;0,271293
Merge_LinkedList;100;0,060000;0,237487
Merge_LinkedList;150;0,080000;0,271293
Merge_LinkedList;200;0,120000;0,324962
Merge_LinkedList;250;0,160000;0,366606
Merge_LinkedList;500;0,800000;0,692820
Merge_LinkedList;1000;6,020000;0,647765
Merge_LinkedList;2000;30,500000;1,459452
Merge_LinkedList;5000;255,020000;11,006344
Merge_LinkedList;10000;1422,900000;169,244232
QuickFirst;1;0,000000;0,000000
QuickFirst;2;0,000000;0,000000
QuickFirst;5;0,000000;0,000000
QuickFirst;10;0,000000;0,000000
QuickFirst;15;0,000000;0,000000
QuickFirst;20;0,000000;0,000000
QuickFirst;30;0,020000;0,140000
QuickFirst;40;0,000000;0,000000
QuickFirst;50;0,000000;0,000000
QuickFirst;60;0,040000;0,195959
QuickFirst;80;0,020000;0,140000
QuickFirst;100;0,040000;0,195959
QuickFirst;150;0,080000;0,271293
QuickFirst;200;0,120000;0,324962
QuickFirst;250;0,100000;0,300000
QuickFirst;500;0,040000;0,195959
QuickFirst;1000;0,180000;0,384187
QuickFirst;2000;1,360000;0,889044
QuickFirst;5000;8,280000;0,567098
QuickFirst;10000;34,180000;1,013706
QuickRandom;1;0,000000;0,000000
QuickRandom;2;0,000000;0,000000
QuickRandom;5;0,000000;0,000000
QuickRandom;10;0,000000;0,000000
QuickRandom;15;0,020000;0,140000
QuickRandom;20;0,000000;0,000000
QuickRandom;30;0,000000;0,000000
QuickRandom;40;0,000000;0,000000
QuickRandom;50;0,000000;0,000000
QuickRandom;60;0,000000;0,000000
QuickRandom;80;0,020000;0,140000
QuickRandom;100;0,020000;0,140000
QuickRandom;150;0,020000;0,140000
QuickRandom;200;0,040000;0,195959
QuickRandom;250;0,060000;0,237487
QuickRandom;500;0,000000;0,000000
QuickRandom;1000;0,020000;0,140000
QuickRandom;2000;0,120000;0,324962
QuickRandom;5000;0,160000;0,366606
QuickRandom;10000;0,420000;0,493559
