algorytm;rozmiar danych;srednia;odchylenie
Merge_ArrayList;1;0,000000;0,000000
Merge_ArrayList;2;0,000000;0,000000
Merge_ArrayList;5;0,000000;0,000000
Merge_ArrayList;10;0,000000;0,000000
Merge_ArrayList;15;0,000000;0,000000
Merge_ArrayList;20;0,000000;0,000000
Merge_ArrayList;30;0,000000;0,000000
Merge_ArrayList;40;0,000000;0,000000
Merge_ArrayList;50;0,000000;0,000000
Merge_ArrayList;60;0,000000;0,000000
Merge_ArrayList;80;0,000000;0,000000
Merge_ArrayList;100;0,000000;0,000000
Merge_ArrayList;150;0,020000;0,140000
Merge_ArrayList;200;0,000000;0,000000
Merge_ArrayList;250;0,040000;0,195959
Merge_ArrayList;500;0,060000;0,237487
Merge_ArrayList;1000;0,120000;0,324962
Merge_ArrayList;2000;0,160000;0,366606
Merge_ArrayList;5000;0,540000;0,537029
Merge_ArrayList;10000;1,220000;0,672012
Merge_LinkedList;1;0,000000;0,000000
Merge_LinkedList;2;0,000000;0,000000
Merge_LinkedList;5;0,000000;0,000000
Merge_LinkedList;10;0,000000;0,000000
Merge_LinkedList;15;0,000000;0,000000
Merge_LinkedList;20;0,000000;0,000000
Merge_LinkedList;30;0,000000;0,000000
Merge_LinkedList;40;0,000000;0,000000
Merge_LinkedList;50;0,000000;0,000000
Merge_LinkedList;60;0,020000;0,140000
Merge_LinkedList;80;0,000000;0,000000
Merge_LinkedList;100;0,020000;0,140000
Merge_LinkedList;150;0,020000;0,140000
Merge_LinkedList;200;0,120000;0,324962
Merge_LinkedList;250;0,180000;0,384187
Merge_LinkedList;500;1,160000;0,783837
Merge_LinkedList;1000;7,460000;0,573062
Merge_LinkedList;2000;37,720000;1,217210
Merge_LinkedList;5000;332,620000;16,550396
Merge_LinkedList;10000;1843,740000;154,392980
QuickFirst;1;0,000000;0,000000
QuickFirst;2;0,000000;0,000000
QuickFirst;5;0,000000;0,000000
QuickFirst;10;0,000000;0,000000
QuickFirst;15;0,000000;0,000000
QuickFirst;20;0,000000;0,000000
QuickFirst;30;0,000000;0,000000
QuickFirst;40;0,000000;0,000000
QuickFirst;50;0,000000;0,000000
QuickFirst;60;0,000000;0,000000
QuickFirst;80;0,000000;0,000000
QuickFirst;100;0,000000;0,000000
QuickFirst;150;0,000000;0,000000
QuickFirst;200;0,000000;0,000000
QuickFirst;250;0,000000;0,000000
QuickFirst;500;0,020000;0,140000
QuickFirst;1000;0,040000;0,195959
QuickFirst;2000;0,060000;0,237487
QuickFirst;5000;0,360000;0,520000
QuickFirst;10000;1,260000;0,687314
QuickRandom;1;0,000000;0,000000
QuickRandom;2;0,000000;0,000000
QuickRandom;5;0,000000;0,000000
QuickRandom;10;0,000000;0,000000
QuickRandom;15;0,000000;0,000000
QuickRandom;20;0,000000;0,000000
QuickRandom;30;0,000000;0,000000
QuickRandom;40;0,000000;0,000000
QuickRandom;50;0,000000;0,000000
QuickRandom;60;0,000000;0,000000
QuickRandom;80;0,000000;0,000000
QuickRandom;100;0,020000;0,140000
QuickRandom;150;0,000000;0,000000
QuickRandom;200;0,020000;0,140000
QuickRandom;250;0,000000;0,000000
QuickRandom;500;0,040000;0,195959
QuickRandom;1000;0,020000;0,140000
QuickRandom;2000;0,020000;0,140000
QuickRandom;5000;0,220000;0,414246
QuickRandom;10000;1,140000;0,721388
