algorytm;rozmiar danych;srednia;odchylenie
Merge_ArrayList;1;0,000000;0,000000
Merge_ArrayList;2;0,000000;0,000000
Merge_ArrayList;5;0,000000;0,000000
Merge_ArrayList;10;0,000000;0,000000
Merge_ArrayList;15;0,000000;0,000000
Merge_ArrayList;20;0,000000;0,000000
Merge_ArrayList;30;0,000000;0,000000
Merge_ArrayList;40;0,000000;0,000000
Merge_ArrayList;50;0,000000;0,000000
Merge_ArrayList;60;0,000000;0,000000
Merge_ArrayList;80;0,020000;0,140000
Merge_ArrayList;100;0,000000;0,000000
Merge_ArrayList;150;0,000000;0,000000
Merge_ArrayList;200;0,020000;0,140000
Merge_ArrayList;250;0,020000;0,140000
Merge_ArrayList;500;0,060000;0,237487
Merge_ArrayList;1000;0,080000;0,271293
Merge_ArrayList;2000;0,180000;0,384187
Merge_ArrayList;5000;0,180000;0,384187
Merge_ArrayList;10000;0,560000;0,605310
Merge_LinkedList;1;0,000000;0,000000
Merge_LinkedList;2;0,000000;0,000000
Merge_LinkedList;5;0,000000;0,000000
Merge_LinkedList;10;0,000000;0,000000
Merge_LinkedList;15;0,000000;0,000000
Merge_LinkedList;20;0,020000;0,140000
Merge_LinkedList;30;0,000000;0,000000
Merge_LinkedList;40;0,000000;0,000000
Merge_LinkedList;50;0,020000;0,140000
Merge_LinkedList;60;0,020000;0,140000
Merge_LinkedList;80;0,040000;0,195959
Merge_LinkedList;100;0,040000;0,195959
Merge_LinkedList;150;0,140000;0,346987
Merge_LinkedList;200;0,220000;0,414246
Merge_LinkedList;250;0,300000;0,458258
Merge_LinkedList;500;1,080000;0,844748
Merge_LinkedList;1000;5,580000;0,568859
Merge_LinkedList;2000;28,580000;0,695414
Merge_LinkedList;5000;263,520000;33,907663
Merge_LinkedList;10000;1462,720000;133,022560
QuickFirst;1;0,000000;0,000000
QuickFirst;2;0,000000;0,000000
QuickFirst;5;0,000000;0,000000
QuickFirst;10;0,020000;0,140000
QuickFirst;15;0,000000;0,000000
QuickFirst;20;0,000000;0,000000
QuickFirst;30;0,000000;0,000000
QuickFirst;40;0,000000;0,000000
QuickFirst;50;0,000000;0,000000
QuickFirst;60;0,020000;0,140000
QuickFirst;80;0,000000;0,000000
QuickFirst;100;0,000000;0,000000
QuickFirst;150;0,040000;0,195959
QuickFirst;200;0,040000;0,195959
QuickFirst;250;0,060000;0,237487
QuickFirst;500;0,120000;0,324962
QuickFirst;1000;1,120000;0,652380
QuickFirst;2000;5,800000;0,529150
QuickFirst;5000;38,820000;1,177964
QuickFirst;10000;158,080000;5,003359
QuickRandom;1;0,000000;0,000000
QuickRandom;2;0,000000;0,000000
QuickRandom;5;0,000000;0,000000
QuickRandom;10;0,000000;0,000000
QuickRandom;15;0,000000;0,000000
QuickRandom;20;0,000000;0,000000
QuickRandom;30;0,000000;0,000000
QuickRandom;40;0,000000;0,000000
QuickRandom;50;0,000000;0,000000
QuickRandom;60;0,000000;0,000000
QuickRandom;80;0,000000;0,000000
QuickRandom;100;0,000000;0,000000
QuickRandom;150;0,000000;0,000000
QuickRandom;200;0,000000;0,000000
QuickRandom;250;0,000000;0,000000
QuickRandom;500;0,020000;0,140000
QuickRandom;1000;0,060000;0,237487
QuickRandom;2000;0,040000;0,195959
QuickRandom;5000;0,200000;0,400000
QuickRandom;10000;0,420000;0,493559
