algorytm;rozmiar danych;srednia;odchylenie
Merge_ArrayList;1;0,000000;0,000000
Merge_ArrayList;2;0,000000;0,000000
Merge_ArrayList;5;0,000000;0,000000
Merge_ArrayList;10;0,000000;0,000000
Merge_ArrayList;15;0,000000;0,000000
Merge_ArrayList;20;0,000000;0,000000
Merge_ArrayList;30;0,000000;0,000000
Merge_ArrayList;40;0,020000;0,140000
Merge_ArrayList;50;0,020000;0,140000
Merge_ArrayList;60;0,020000;0,140000
Merge_ArrayList;80;0,000000;0,000000
Merge_ArrayList;100;0,020000;0,140000
Merge_ArrayList;150;0,080000;0,271293
Merge_ArrayList;200;0,140000;0,346987
Merge_ArrayList;250;0,160000;0,366606
Merge_ArrayList;500;0,980000;0,677938
Merge_ArrayList;1000;7,520000;0,538145
Merge_ArrayList;2000;37,760000;0,949947
Merge_ArrayList;5000;335,040000;21,350372
Merge_ArrayList;10000;1847,260000;214,055396
Merge_LinkedList;1;0,000000;0,000000
Merge_LinkedList;2;0,000000;0,000000
Merge_LinkedList;5;0,000000;0,000000
Merge_LinkedList;10;0,000000;0,000000
Merge_LinkedList;15;0,000000;0,000000
Merge_LinkedList;20;0,000000;0,000000
Merge_LinkedList;30;0,000000;0,000000
Merge_LinkedList;40;0,000000;0,000000
Merge_LinkedList;50;0,020000;0,140000
Merge_LinkedList;60;0,000000;0,000000
Merge_LinkedList;80;0,020000;0,140000
Merge_LinkedList;100;0,040000;0,195959
Merge_LinkedList;150;0,080000;0,271293
Merge_LinkedList;200;0,080000;0,271293
Merge_LinkedList;250;0,180000;0,384187
Merge_LinkedList;500;1,140000;0,529528
Merge_LinkedList;1000;7,480000;0,574108
Merge_LinkedList;2000;36,900000;0,830662
Merge_LinkedList;5000;339,620000;29,939198
Merge_LinkedList;10000;1724,100000;234,077017
QuickFirst;1;0,000000;0,000000
QuickFirst;2;0,000000;0,000000
QuickFirst;5;0,000000;0,000000
QuickFirst;10;0,000000;0,000000
QuickFirst;15;0,000000;0,000000
QuickFirst;20;0,020000;0,140000
QuickFirst;30;0,000000;0,000000
QuickFirst;40;0,020000;0,140000
QuickFirst;50;0,040000;0,195959
QuickFirst;60;0,020000;0,140000
QuickFirst;80;0,020000;0,140000
QuickFirst;100;0,060000;0,237487
QuickFirst;150;0,080000;0,271293
QuickFirst;200;0,200000;0,400000
QuickFirst;250;0,240000;0,427083
QuickFirst;500;1,640000;0,741889
QuickFirst;1000;6,920000;0,996795
QuickFirst;2000;34,100000;2,547548
QuickFirst;5000;307,560000;24,528481
QuickFirst;10000;1634,840000;191,665788
QuickRandom;1;0,000000;0,000000
QuickRandom;2;0,000000;0,000000
QuickRandom;5;0,000000;0,000000
QuickRandom;10;0,000000;0,000000
QuickRandom;15;0,000000;0,000000
QuickRandom;20;0,000000;0,000000
QuickRandom;30;0,000000;0,000000
QuickRandom;40;0,020000;0,140000
QuickRandom;50;0,020000;0,140000
QuickRandom;60;0,000000;0,000000
QuickRandom;80;0,020000;0,140000
QuickRandom;100;0,020000;0,140000
QuickRandom;150;0,020000;0,140000
QuickRandom;200;0,060000;0,237487
QuickRandom;250;0,120000;0,324962
QuickRandom;500;1,000000;0,632456
QuickRandom;1000;6,480000;0,943186
QuickRandom;2000;33,300000;2,851315
QuickRandom;5000;281,020000;19,964458
QuickRandom;10000;1462,760000;190,703913
