algorytm;rozmiar danych;srednia;odchylenie
Merge_ArrayList;1;0,000000;0,000000
Merge_ArrayList;2;1,000000;0,000000
Merge_ArrayList;5;8,000000;0,000000
Merge_ArrayList;10;21,000000;0,000000
Merge_ArrayList;15;31,000000;0,000000
Merge_ArrayList;20;52,000000;0,000000
Merge_ArrayList;30;77,000000;0,000000
Merge_ArrayList;40;124,000000;0,000000
Merge_ArrayList;50;161,000000;0,000000
Merge_ArrayList;60;184,000000;0,000000
Merge_ArrayList;80;288,000000;0,000000
Merge_ArrayList;100;372,000000;0,000000
Merge_ArrayList;150;633,000000;0,000000
Merge_ArrayList;200;844,000000;0,000000
Merge_ArrayList;250;1013,000000;0,000000
Merge_ArrayList;500;2276,000000;0,000000
Merge_ArrayList;1000;5052,000000;0,000000
Merge_ArrayList;2000;11104,000000;0,000000
Merge_ArrayList;5000;33356,000000;0,000000
Merge_ArrayList;10000;71712,000000;0,000000
Merge_LinkedList;1;0,000000;0,000000
Merge_LinkedList;2;1,000000;0,000000
Merge_LinkedList;5;8,000000;0,000000
Merge_LinkedList;10;21,000000;0,000000
Merge_LinkedList;15;31,000000;0,000000
Merge_LinkedList;20;52,000000;0,000000
Merge_LinkedList;30;77,000000;0,000000
Merge_LinkedList;40;124,000000;0,000000
Merge_LinkedList;50;161,000000;0,000000
Merge_LinkedList;60;184,000000;0,000000
Merge_LinkedList;80;288,000000;0,000000
Merge_LinkedList;100;372,000000;0,000000
Merge_LinkedList;150;633,000000;0,000000
Merge_LinkedList;200;844,000000;0,000000
Merge_LinkedList;250;1013,000000;0,000000
Merge_LinkedList;500;2276,000000;0,000000
Merge_LinkedList;1000;5052,000000;0,000000
Merge_LinkedList;2000;11104,000000;0,000000
Merge_LinkedList;5000;33356,000000;0,000000
Merge_LinkedList;10000;71712,000000;0,000000
QuickFirst;1;0,000000;0,000000
QuickFirst;2;1,000000;0,000000
QuickFirst;5;10,000000;0,000000
QuickFirst;10;45,000000;0,000000
QuickFirst;15;105,000000;0,000000
QuickFirst;20;190,000000;0,000000
QuickFirst;30;435,000000;0,000000
QuickFirst;40;780,000000;0,000000
QuickFirst;50;1225,000000;0,000000
QuickFirst;60;1770,000000;0,000000
QuickFirst;80;3160,000000;0,000000
QuickFirst;100;4950,000000;0,000000
QuickFirst;150;11175,000000;0,000000
QuickFirst;200;19900,000000;0,000000
QuickFirst;250;31125,000000;0,000000
QuickFirst;500;124750,000000;0,000000
QuickFirst;1000;499500,000000;0,000000
QuickFirst;2000;1999000,000000;0,000000
QuickFirst;5000;12497500,000000;0,000000
QuickFirst;10000;49995000,000000;0,000000
QuickRandom;1;0,000000;0,000000
QuickRandom;2;1,000000;0,000000
QuickRandom;5;7,540000;1,417180
QuickRandom;10;24,000000;3,914077
QuickRandom;15;45,880000;6,266227
QuickRandom;20;69,620000;9,905332
QuickRandom;30;128,300000;13,692699
QuickRandom;40;188,820000;21,597861
QuickRandom;50;252,640000;27,475633
QuickRandom;60;332,600000;31,913633
QuickRandom;80;487,480000;46,056591
QuickRandom;100;638,460000;52,642648
QuickRandom;150;1080,180000;89,110199
QuickRandom;200;1556,900000;127,774841
QuickRandom;250;2041,620000;128,201855
QuickRandom;500;4766,280000;279,261672
QuickRandom;1000;10883,040000;601,114464
QuickRandom;2000;24957,380000;1347,627217
QuickRandom;5000;71382,080000;3309,460916
QuickRandom;10000;156432,460000;6316,856928
