algorytm;rozmiar danych;srednia;odchylenie
Merge_ArrayList;1;0,000000;0,000000
Merge_ArrayList;2;1,000000;0,000000
Merge_ArrayList;5;7,900000;1,118034
Merge_ArrayList;10;23,660000;2,205538
Merge_ArrayList;15;41,840000;1,922082
Merge_ArrayList;20;67,580000;2,993927
Merge_ArrayList;30;111,240000;2,454058
Merge_ArrayList;40;173,500000;3,732292
Merge_ArrayList;50;229,000000;5,245951
Merge_ArrayList;60;280,680000;3,483906
Merge_ArrayList;80;426,280000;6,190444
Merge_ArrayList;100;558,800000;7,673330
Merge_ArrayList;150;955,580000;8,447698
Merge_ArrayList;200;1319,820000;9,175380
Merge_ArrayList;250;1680,740000;9,526405
Merge_ArrayList;500;3856,400000;14,176036
Merge_ArrayList;1000;8710,440000;20,410938
Merge_ArrayList;2000;19417,740000;23,314210
Merge_ArrayList;5000;56753,420000;45,847177
Merge_ArrayList;10000;123464,800000;54,995273
Merge_LinkedList;1;0,000000;0,000000
Merge_LinkedList;2;1,000000;0,000000
Merge_LinkedList;5;7,780000;1,237578
Merge_LinkedList;10;23,420000;2,173384
Merge_LinkedList;15;41,420000;1,789860
Merge_LinkedList;20;66,280000;3,893790
Merge_LinkedList;30;111,460000;2,906613
Merge_LinkedList;40;173,480000;5,804274
Merge_LinkedList;50;230,060000;4,211461
Merge_LinkedList;60;281,380000;4,141932
Merge_LinkedList;80;427,240000;5,213674
Merge_LinkedList;100;557,440000;8,087422
Merge_LinkedList;150;953,840000;8,978552
Merge_LinkedList;200;1321,100000;7,800641
Merge_LinkedList;250;1679,660000;8,031463
Merge_LinkedList;500;3856,640000;12,885278
Merge_LinkedList;1000;8712,900000;19,760820
Merge_LinkedList;2000;19418,200000;26,123553
Merge_LinkedList;5000;56736,540000;41,834536
Merge_LinkedList;10000;123455,140000;65,204297
QuickFirst;1;0,000000;0,000000
QuickFirst;2;1,000000;0,000000
QuickFirst;5;7,180000;1,194822
QuickFirst;10;24,640000;4,511142
QuickFirst;15;44,740000;6,593360
QuickFirst;20;69,320000;10,348797
QuickFirst;30;127,600000;16,229603
QuickFirst;40;190,020000;22,377212
QuickFirst;50;264,400000;22,602655
QuickFirst;60;330,620000;32,325154
QuickFirst;80;481,720000;40,459876
QuickFirst;100;645,840000;57,860646
QuickFirst;150;1092,920000;78,435665
QuickFirst;200;1588,260000;115,622975
QuickFirst;250;2125,800000;174,222961
QuickFirst;500;5109,280000;312,225882
QuickFirst;1000;13155,440000;704,065769
QuickFirst;2000;36463,780000;1626,933672
QuickFirst;5000;166264,500000;2908,454120
QuickFirst;10000;583115,120000;5831,714861
QuickRandom;1;0,000000;0,000000
QuickRandom;2;1,000000;0,000000
QuickRandom;5;7,180000;1,351888
QuickRandom;10;24,960000;3,924080
QuickRandom;15;45,560000;6,554876
QuickRandom;20;72,740000;11,348674
QuickRandom;30;127,360000;15,550897
QuickRandom;40;191,500000;21,564091
QuickRandom;50;258,480000;23,606135
QuickRandom;60;324,240000;31,141329
QuickRandom;80;485,900000;46,460844
QuickRandom;100;654,160000;70,931618
QuickRandom;150;1104,260000;100,993626
QuickRandom;200;1591,660000;117,308927
QuickRandom;250;2112,600000;138,952510
QuickRandom;500;5187,040000;407,485409
QuickRandom;1000;13026,480000;529,779246
QuickRandom;2000;36490,060000;1142,460510
QuickRandom;5000;167441,000000;3919,122422
QuickRandom;10000;583398,840000;6050,884766
