algorytm;rozmiar danych;srednia;odchylenie
Merge_ArrayList;1;0,000000;0,000000
Merge_ArrayList;2;1,000000;0,000000
Merge_ArrayList;5;5,000000;0,000000
Merge_ArrayList;10;15,000000;0,000000
Merge_ArrayList;15;28,000000;0,000000
Merge_ArrayList;20;40,000000;0,000000
Merge_ArrayList;30;71,000000;0,000000
Merge_ArrayList;40;100,000000;0,000000
Merge_ArrayList;50;133,000000;0,000000
Merge_ArrayList;60;172,000000;0,000000
Merge_ArrayList;80;240,000000;0,000000
Merge_ArrayList;100;316,000000;0,000000
Merge_ArrayList;150;515,000000;0,000000
Merge_ArrayList;200;732,000000;0,000000
Merge_ArrayList;250;983,000000;0,000000
Merge_ArrayList;500;2216,000000;0,000000
Merge_ArrayList;1000;4932,000000;0,000000
Merge_ArrayList;2000;10864,000000;0,000000
Merge_ArrayList;5000;29804,000000;0,000000
Merge_ArrayList;10000;64608,000000;0,000000
Merge_LinkedList;1;0,000000;0,000000
Merge_LinkedList;2;1,000000;0,000000
Merge_LinkedList;5;5,000000;0,000000
Merge_LinkedList;10;15,000000;0,000000
Merge_LinkedList;15;28,000000;0,000000
Merge_LinkedList;20;40,000000;0,000000
Merge_LinkedList;30;71,000000;0,000000
Merge_LinkedList;40;100,000000;0,000000
Merge_LinkedList;50;133,000000;0,000000
Merge_LinkedList;60;172,000000;0,000000
Merge_LinkedList;80;240,000000;0,000000
Merge_LinkedList;100;316,000000;0,000000
Merge_LinkedList;150;515,000000;0,000000
Merge_LinkedList;200;732,000000;0,000000
Merge_LinkedList;250;983,000000;0,000000
Merge_LinkedList;500;2216,000000;0,000000
Merge_LinkedList;1000;4932,000000;0,000000
Merge_LinkedList;2000;10864,000000;0,000000
Merge_LinkedList;5000;29804,000000;0,000000
Merge_LinkedList;10000;64608,000000;0,000000
QuickFirst;1;0,000000;0,000000
QuickFirst;2;1,000000;0,000000
QuickFirst;5;10,000000;0,000000
QuickFirst;10;45,000000;0,000000
QuickFirst;15;105,000000;0,000000
QuickFirst;20;190,000000;0,000000
QuickFirst;30;435,000000;0,000000
QuickFirst;40;780,000000;0,000000
QuickFirst;50;1225,000000;0,000000
QuickFirst;60;1770,000000;0,000000
QuickFirst;80;3160,000000;0,000000
QuickFirst;100;4950,000000;0,000000
QuickFirst;150;11175,000000;0,000000
QuickFirst;200;19900,000000;0,000000
QuickFirst;250;31125,000000;0,000000
QuickFirst;500;124750,000000;0,000000
QuickFirst;1000;499500,000000;0,000000
QuickFirst;2000;1999000,000000;0,000000
QuickFirst;5000;12497500,000000;0,000000
QuickFirst;10000;49995000,000000;0,000000
QuickRandom;1;0,000000;0,000000
QuickRandom;2;1,000000;0,000000
QuickRandom;5;7,120000;1,437220
QuickRandom;10;25,160000;4,332944
QuickRandom;15;45,260000;5,450908
QuickRandom;20;69,760000;7,251372
QuickRandom;30;128,300000;18,196978
QuickRandom;40;191,620000;21,709804
QuickRandom;50;258,220000;28,382593
QuickRandom;60;331,280000;29,151357
QuickRandom;80;492,720000;51,032946
QuickRandom;100;624,960000;49,978379
QuickRandom;150;1094,220000;90,053160
QuickRandom;200;1574,340000;146,714636
QuickRandom;250;2049,060000;141,318988
QuickRandom;500;4842,560000;312,205519
QuickRandom;1000;11114,880000;620,666501
QuickRandom;2000;24425,020000;1108,436692
QuickRandom;5000;69624,780000;1973,605759
QuickRandom;10000;155533,440000;5370,028611
