algorytm;rozmiar danych;srednia;odchylenie
Merge_ArrayList;1;0,000000;0,000000
Merge_ArrayList;2;1,000000;0,000000
Merge_ArrayList;5;7,520000;1,170299
Merge_ArrayList;10;24,240000;1,849973
Merge_ArrayList;15;41,740000;1,425623
Merge_ArrayList;20;66,800000;2,925748
Merge_ArrayList;30;111,800000;3,039737
Merge_ArrayList;40;173,900000;3,935734
Merge_ArrayList;50;229,740000;4,380913
Merge_ArrayList;60;281,600000;4,656179
Merge_ArrayList;80;426,620000;6,270215
Merge_ArrayList;100;558,740000;6,707637
Merge_ArrayList;150;955,480000;8,595906
Merge_ArrayList;200;1318,280000;8,651104
Merge_ArrayList;250;1679,980000;8,635948
Merge_ArrayList;500;3858,660000;11,397561
Merge_ArrayList;1000;8717,740000;21,510751
Merge_ArrayList;2000;19439,160000;24,644967
Merge_ArrayList;5000;56820,080000;46,685689
Merge_ArrayList;10000;123672,840000;52,817558
Merge_LinkedList;1;0,000000;0,000000
Merge_LinkedList;2;1,000000;0,000000
Merge_LinkedList;5;7,560000;1,283121
Merge_LinkedList;10;23,920000;2,390314
Merge_LinkedList;15;41,820000;1,669611
Merge_LinkedList;20;66,440000;3,806100
Merge_LinkedList;30;111,040000;2,959459
Merge_LinkedList;40;174,480000;3,981156
Merge_LinkedList;50;228,020000;5,489954
Merge_LinkedList;60;280,800000;3,800000
Merge_LinkedList;80;425,820000;5,402555
Merge_LinkedList;100;558,460000;7,275191
Merge_LinkedList;150;954,520000;11,191497
Merge_LinkedList;200;1318,980000;9,657101
Merge_LinkedList;250;1681,240000;7,580396
Merge_LinkedList;500;3856,220000;12,133079
Merge_LinkedList;1000;8718,320000;19,435473
Merge_LinkedList;2000;19436,880000;25,097920
Merge_LinkedList;5000;56840,420000;43,736525
Merge_LinkedList;10000;123655,480000;56,716925
QuickFirst;1;0,000000;0,000000
QuickFirst;2;1,000000;0,000000
QuickFirst;5;7,580000;1,372443
QuickFirst;10;23,700000;3,758989
QuickFirst;15;45,640000;5,117656
QuickFirst;20;68,380000;9,431628
QuickFirst;30;129,500000;15,906288
QuickFirst;40;200,220000;30,247175
QuickFirst;50;252,780000;24,210981
QuickFirst;60;333,560000;38,473970
QuickFirst;80;485,600000;44,866914
QuickFirst;100;657,220000;64,157085
QuickFirst;150;1078,860000;75,178457
QuickFirst;200;1572,900000;118,910260
QuickFirst;250;2104,980000;181,217824
QuickFirst;500;4827,400000;302,380952
QuickFirst;1000;11135,640000;683,196422
QuickFirst;2000;24715,800000;1212,720363
QuickFirst;5000;71180,680000;3573,253903
QuickFirst;10000;155408,440000;6258,565005
QuickRandom;1;0,000000;0,000000
QuickRandom;2;1,000000;0,000000
QuickRandom;5;7,680000;1,406272
QuickRandom;10;23,660000;2,963849
QuickRandom;15;45,320000;5,544150
QuickRandom;20;71,720000;9,802122
QuickRandom;30;130,060000;16,954539
QuickRandom;40;195,060000;28,064504
QuickRandom;50;258,100000;25,657163
QuickRandom;60;336,180000;37,880702
QuickRandom;80;492,040000;44,615226
QuickRandom;100;652,400000;60,309535
QuickRandom;150;1076,760000;86,452891
QuickRandom;200;1578,160000;137,197137
QuickRandom;250;2045,080000;159,454801
QuickRandom;500;4816,240000;284,314724
QuickRandom;1000;10935,500000;727,602316
QuickRandom;2000;24935,940000;1294,198755
QuickRandom;5000;70481,140000;2947,817627
QuickRandom;10000;155719,700000;6479,187774
